time,high,low,open,volumefrom,volumeto,close
2017-07-04 07:00:00,2609.63,2584.13,2599.99,2.516,6510.94,2600.89
2017-07-04 06:00:00,2599.99,2586.32,2594.07,3.04,7891.53,2599.99
2017-07-04 05:00:00,2609.74,2549.67,2600.15,11.63,29947.06,2594.07
2017-07-04 04:00:00,2616.43,2589.45,2610.92,1.594,4145.88,2600.15
2017-07-04 03:00:00,2610.92,2564.95,2575.73,1.743,4514.73,2610.92
2017-07-04 02:00:00,2605.25,2540.18,2540.19,2.959,7582.23,2575.73
2017-07-04 01:00:00,2552.85,2509.3,2543.05,1.747,4431.87,2540.19
2017-07-04 00:00:00,2543.05,2505.39,2527.85,1.249,3149.37,2543.05
2017-07-03 23:00:00,2554.39,2523.97,2549.56,1.619,4112.8,2527.85
2017-07-03 22:00:00,2559.79,2504.52,2530.6,3.508,8894.03,2549.56
2017-07-03 21:00:00,2534.45,2511.28,2523.21,2.565,6481.32,2530.6
2017-07-03 20:00:00,2529.62,2491.62,2491.62,11.34,28608.38,2523.21
2017-07-03 19:00:00,2520.31,2478.29,2506.73,5.254,13118.77,2491.62
2017-07-03 18:00:00,2523.33,2498.13,2504.22,3.575,8954.5,2506.73
2017-07-03 17:00:00,2535.09,2493.49,2515.04,2.627,6599.99,2504.22
2017-07-03 16:00:00,2541.14,2499.92,2523.48,8.906,22390.75,2515.04
2017-07-03 15:00:00,2539.67,2497.68,2509.36,5.171,12947.78,2523.48
2017-07-03 14:00:00,2568.62,2497.31,2545.15,14.23,35919.23,2509.36
2017-07-03 13:00:00,2545.15,2447.49,2464.48,7.088,17640.91,2545.15
2017-07-03 12:00:00,2464.48,2377.32,2423.8,10.26,24997.03,2464.48
2017-07-03 11:00:00,2427.53,2377.09,2412.21,3.838,9277.65,2423.8
2017-07-03 10:00:00,2435.48,2411.86,2422.57,3.244,7857.17,2412.21
2017-07-03 09:00:00,2435.39,2393.72,2435.39,2.614,6338.46,2422.57
2017-07-03 08:00:00,2459.14,2393.71,2428.51,1.853,4493.85,2435.39
2017-07-03 07:00:00,2459.68,2400.78,2443.67,1.827,4455.03,2428.51
2017-07-03 06:00:00,2447.46,2423.75,2437.06,2.111,5144.49,2443.67
2017-07-03 05:00:00,2449.06,2427.31,2437.65,3.544,8635.14,2437.06
2017-07-03 04:00:00,2458.07,2424.65,2424.78,1.474,3599.68,2437.65
2017-07-03 03:00:00,2446.55,2400.79,2440.44,1.971,4784.4,2424.78
2017-07-03 02:00:00,2463.54,2424.66,2443.64,2.335,5690.83,2440.44
2017-07-03 01:00:00,2459.96,2424.75,2428.2,2.691,6560.92,2443.64
2017-07-03 00:00:00,2470.75,2428.2,2450.81,2.143,5236.21,2428.2
2017-07-02 23:00:00,2481.08,2447.91,2458.22,1.401,3447.53,2450.81
2017-07-02 22:00:00,2480.43,2428.31,2455.07,2.67,6556.74,2458.22
